description,category,silhouette,fabric,neckline,sleeve,length,embellishment,color
"knee length velvet wedding dress with halter neckline, cap sleeve and beading in blush featuring a-line silhouette",Wedding Dress,A-Line,Velvet,Halter,Cap Sleeve,Knee,Beading,Blush
"mini length organza formal dress with v-neck neckline, sleeveless and pleats in black featuring a-line silhouette",Formal Dress,A-Line,Organza,V-Neck,Sleeveless,Mini,Pleats,Black
"high-low length chiffon formal dress with halter neckline, one shoulder and side slit in dusty blue featuring trumpet silhouette",Formal Dress,Trumpet,Chiffon,Halter,One Shoulder,High-Low,Side Slit,Dusty Blue
"knee length velvet bridesmaid dress with v-neck neckline, strapless and applique in royal blue featuring sheath silhouette",Bridesmaid Dress,Sheath,Velvet,V-Neck,Strapless,Knee,Applique,Royal Blue
"mini length tulle evening gown with scoop neckline, sleeveless and applique in white featuring mermaid silhouette",Evening Gown,Mermaid,Tulle,Scoop,Sleeveless,Mini,Applique,White
"mini length jersey evening gown with off shoulder neckline, strapless and scalloped hem in emerald featuring empire silhouette",Evening Gown,Empire,Jersey,Off Shoulder,Strapless,Mini,Scalloped Hem,Emerald
"high-low length satin wedding dress with off shoulder neckline, strapless and bow detail in gold featuring sheath silhouette",Wedding Dress,Sheath,Satin,Off Shoulder,Strapless,High-Low,Bow Detail,Gold
"high-low length tulle evening gown with sweetheart neckline, sleeveless and pleats in silver featuring trumpet silhouette",Evening Gown,Trumpet,Tulle,Sweetheart,Sleeveless,High-Low,Pleats,Silver
"tea length tulle evening gown with sweetheart neckline, long sleeve and scalloped hem in blush featuring a-line silhouette",Evening Gown,A-Line,Tulle,Sweetheart,Long Sleeve,Tea,Scalloped Hem,Blush
"high-low length jersey evening gown with scoop neckline, cap sleeve and ruffles in red featuring mermaid silhouette",Evening Gown,Mermaid,Jersey,Scoop,Cap Sleeve,High-Low,Ruffles,Red
"midi length lace wedding dress with halter neckline, cap sleeve and applique in navy featuring trumpet silhouette",Wedding Dress,Trumpet,Lace,Halter,Cap Sleeve,Midi,Applique,Navy
"mini length jersey formal dress with v-neck neckline, cap sleeve and feathers in dusty blue featuring mermaid silhouette",Formal Dress,Mermaid,Jersey,V-Neck,Cap Sleeve,Mini,Feathers,Dusty Blue
"high-low length tulle evening gown with scoop neckline, cap sleeve and scalloped hem in dusty blue featuring a-line silhouette",Evening Gown,A-Line,Tulle,Scoop,Cap Sleeve,High-Low,Scalloped Hem,Dusty Blue
"high-low length velvet cocktail dress with square neckline, cap sleeve and side slit in emerald featuring mermaid silhouette",Cocktail Dress,Mermaid,Velvet,Square,Cap Sleeve,High-Low,Side Slit,Emerald
"knee length organza evening gown with illusion neckline, short sleeve and embroidery in emerald featuring fit & flare silhouette",Evening Gown,Fit & Flare,Organza,Illusion,Short Sleeve,Knee,Embroidery,Emerald
"high-low length chiffon cocktail dress with sweetheart neckline, cap sleeve and embroidery in silver featuring a-line silhouette",Cocktail Dress,A-Line,Chiffon,Sweetheart,Cap Sleeve,High-Low,Embroidery,Silver
"floor length satin cocktail dress with illusion neckline, long sleeve and scalloped hem in emerald featuring trumpet silhouette",Cocktail Dress,Trumpet,Satin,Illusion,Long Sleeve,Floor,Scalloped Hem,Emerald
"floor length chiffon evening gown with sweetheart neckline, one shoulder and ruffles in silver featuring trumpet silhouette",Evening Gown,Trumpet,Chiffon,Sweetheart,One Shoulder,Floor,Ruffles,Silver
"midi length velvet evening gown with illusion neckline, cap sleeve and sequins in red featuring a-line silhouette",Evening Gown,A-Line,Velvet,Illusion,Cap Sleeve,Midi,Sequins,Red
"high-low length lace evening gown with sweetheart neckline, strapless and ruffles in gold featuring trumpet silhouette",Evening Gown,Trumpet,Lace,Sweetheart,Strapless,High-Low,Ruffles,Gold
"knee length tulle formal dress with square neckline, short sleeve and side slit in silver featuring trumpet silhouette",Formal Dress,Trumpet,Tulle,Square,Short Sleeve,Knee,Side Slit,Silver
"mini length jersey formal dress with high neck neckline, sleeveless and feathers in gold featuring a-line silhouette",Formal Dress,A-Line,Jersey,High Neck,Sleeveless,Mini,Feathers,Gold
"mini length chiffon evening gown with halter neckline, puff sleeve and beading in red featuring mermaid silhouette",Evening Gown,Mermaid,Chiffon,Halter,Puff Sleeve,Mini,Beading,Red
"high-low length satin cocktail dress with square neckline, cap sleeve and scalloped hem in emerald featuring empire silhouette",Cocktail Dress,Empire,Satin,Square,Cap Sleeve,High-Low,Scalloped Hem,Emerald
"high-low length organza bridesmaid dress with halter neckline, puff sleeve and pleats in red featuring ball gown silhouette",Bridesmaid Dress,Ball Gown,Organza,Halter,Puff Sleeve,High-Low,Pleats,Red
"midi length jersey evening gown with high neck neckline, puff sleeve and beading in black featuring sheath silhouette",Evening Gown,Sheath,Jersey,High Neck,Puff Sleeve,Midi,Beading,Black
"floor length jersey bridesmaid dress with v-neck neckline, puff sleeve and pleats in burgundy featuring a-line silhouette",Bridesmaid Dress,A-Line,Jersey,V-Neck,Puff Sleeve,Floor,Pleats,Burgundy
"mini length satin bridesmaid dress with v-neck neckline, cap sleeve and sequins in gold featuring a-line silhouette",Bridesmaid Dress,A-Line,Satin,V-Neck,Cap Sleeve,Mini,Sequins,Gold
"midi length tulle evening gown with off shoulder neckline, one shoulder and pleats in emerald featuring a-line silhouette",Evening Gown,A-Line,Tulle,Off Shoulder,One Shoulder,Midi,Pleats,Emerald
"midi length crepe bridesmaid dress with halter neckline, strapless and applique in black featuring fit & flare silhouette",Bridesmaid Dress,Fit & Flare,Crepe,Halter,Strapless,Midi,Applique,Black
"midi length organza wedding dress with scoop neckline, long sleeve and scalloped hem in gold featuring a-line silhouette",Wedding Dress,A-Line,Organza,Scoop,Long Sleeve,Midi,Scalloped Hem,Gold
"high-low length satin wedding dress with v-neck neckline, long sleeve and feathers in silver featuring fit & flare silhouette",Wedding Dress,Fit & Flare,Satin,V-Neck,Long Sleeve,High-Low,Feathers,Silver
"midi length tulle wedding dress with halter neckline, puff sleeve and embroidery in dusty blue featuring mermaid silhouette",Wedding Dress,Mermaid,Tulle,Halter,Puff Sleeve,Midi,Embroidery,Dusty Blue
"mini length crepe bridesmaid dress with halter neckline, strapless and scalloped hem in silver featuring ball gown silhouette",Bridesmaid Dress,Ball Gown,Crepe,Halter,Strapless,Mini,Scalloped Hem,Silver
"knee length chiffon formal dress with v-neck neckline, sleeveless and embroidery in dusty blue featuring a-line silhouette",Formal Dress,A-Line,Chiffon,V-Neck,Sleeveless,Knee,Embroidery,Dusty Blue
"knee length tulle cocktail dress with illusion neckline, sleeveless and applique in ivory featuring sheath silhouette",Cocktail Dress,Sheath,Tulle,Illusion,Sleeveless,Knee,Applique,Ivory
"high-low length crepe cocktail dress with off shoulder neckline, long sleeve and side slit in blush featuring ball gown silhouette",Cocktail Dress,Ball Gown,Crepe,Off Shoulder,Long Sleeve,High-Low,Side Slit,Blush
"mini length tulle cocktail dress with off shoulder neckline, cap sleeve and bow detail in red featuring mermaid silhouette",Cocktail Dress,Mermaid,Tulle,Off Shoulder,Cap Sleeve,Mini,Bow Detail,Red
"floor length jersey formal dress with v-neck neckline, sleeveless and scalloped hem in emerald featuring a-line silhouette",Formal Dress,A-Line,Jersey,V-Neck,Sleeveless,Floor,Scalloped Hem,Emerald
"knee length chiffon formal dress with sweetheart neckline, strapless and beading in burgundy featuring mermaid silhouette",Formal Dress,Mermaid,Chiffon,Sweetheart,Strapless,Knee,Beading,Burgundy
"floor length tulle wedding dress with illusion neckline, sleeveless and pleats in burgundy featuring fit & flare silhouette",Wedding Dress,Fit & Flare,Tulle,Illusion,Sleeveless,Floor,Pleats,Burgundy
"floor length satin formal dress with illusion neckline, one shoulder and bow detail in emerald featuring a-line silhouette",Formal Dress,A-Line,Satin,Illusion,One Shoulder,Floor,Bow Detail,Emerald
"tea length tulle evening gown with scoop neckline, cap sleeve and applique in champagne featuring ball gown silhouette",Evening Gown,Ball Gown,Tulle,Scoop,Cap Sleeve,Tea,Applique,Champagne
"midi length jersey evening gown with sweetheart neckline, sleeveless and bow detail in burgundy featuring sheath silhouette",Evening Gown,Sheath,Jersey,Sweetheart,Sleeveless,Midi,Bow Detail,Burgundy
"tea length tulle wedding dress with off shoulder neckline, cap sleeve and beading in black featuring a-line silhouette",Wedding Dress,A-Line,Tulle,Off Shoulder,Cap Sleeve,Tea,Beading,Black
"floor length lace evening gown with high neck neckline, strapless and ruffles in burgundy featuring ball gown silhouette",Evening Gown,Ball Gown,Lace,High Neck,Strapless,Floor,Ruffles,Burgundy
"tea length velvet formal dress with sweetheart neckline, cap sleeve and beading in white featuring a-line silhouette",Formal Dress,A-Line,Velvet,Sweetheart,Cap Sleeve,Tea,Beading,White
"knee length velvet formal dress with off shoulder neckline, puff sleeve and feathers in black featuring mermaid silhouette",Formal Dress,Mermaid,Velvet,Off Shoulder,Puff Sleeve,Knee,Feathers,Black
"mini length crepe evening gown with off shoulder neckline, strapless and beading in blush featuring trumpet silhouette",Evening Gown,Trumpet,Crepe,Off Shoulder,Strapless,Mini,Beading,Blush
"tea length velvet cocktail dress with v-neck neckline, sleeveless and embroidery in blush featuring empire silhouette",Cocktail Dress,Empire,Velvet,V-Neck,Sleeveless,Tea,Embroidery,Blush
